,YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM_1,DIST_DIRECT_KM,DIST_ACHIEVED_KM_1
549102,2024,1,JAN,2024-01-01,Albania,State (FIR),CPF,67887,67582.94,66205.16
549103,2024,1,JAN,2024-01-01,Albania,State (FIR),FTFM,70664,70233.76,67388.79
549104,2024,1,JAN,2024-01-01,Albania,State (FIR),SCR,68405,68024.77,65306.4
549105,2024,1,JAN,2024-01-01,Armenia,State (FIR),CPF,16858,16617.05,15970.69
549106,2024,1,JAN,2024-01-01,Armenia,State (FIR),FTFM,17603,17321.4,16407.37
549107,2024,1,JAN,2024-01-01,Armenia,State (FIR),SCR,22105,21897.77,21075.85
549108,2024,1,JAN,2024-01-01,Austria,State (FIR),CPF,530439,529526.67,521249.53
549109,2024,1,JAN,2024-01-01,Austria,State (FIR),FTFM,531501,529726.24,518116.1
549110,2024,1,JAN,2024-01-01,Austria,State (FIR),SCR,517281,515618.06,504537.04
549111,2024,1,JAN,2024-01-01,BLUE MED FAB,FAB (FIR),CPF,2720299,2699757.81,2654621.34
549112,2024,1,JAN,2024-01-01,BLUE MED FAB,FAB (FIR),FTFM,2730988,2688510.34,2634167.85
549113,2024,1,JAN,2024-01-01,BLUE MED FAB,FAB (FIR),SCR,2664541,2626311.76,2576870.07
549114,2024,1,JAN,2024-01-01,Baltic FAB,FAB (FIR),CPF,606012,601765.36,576236.78
549115,2024,1,JAN,2024-01-01,Baltic FAB,FAB (FIR),FTFM,620240,609748.71,577587.3
549116,2024,1,JAN,2024-01-01,Baltic FAB,FAB (FIR),SCR,595977,586705.95,557002.06
549117,2024,1,JAN,2024-01-01,Belgium,State (FIR),CPF,335670,334627.43,327099.37
549118,2024,1,JAN,2024-01-01,Belgium,State (FIR),FTFM,356864,352520.98,338949.43
549119,2024,1,JAN,2024-01-01,Belgium,State (FIR),SCR,360034,355970.19,343071.75
549120,2024,1,JAN,2024-01-01,Bosnia and Herzegovina,State (FIR),CPF,203853,203706.47,201690.25
549121,2024,1,JAN,2024-01-01,Bosnia and Herzegovina,State (FIR),FTFM,208562,208319.35,205690.62
549122,2024,1,JAN,2024-01-01,Bosnia and Herzegovina,State (FIR),SCR,201942,201824.58,199366.12
549123,2024,1,JAN,2024-01-01,Bulgaria,State (FIR),CPF,564115,562857.57,547751.34
549124,2024,1,JAN,2024-01-01,Bulgaria,State (FIR),FTFM,550163,548577.28,531148.78
549125,2024,1,JAN,2024-01-01,Bulgaria,State (FIR),SCR,522398,520859.96,504825.88
549126,2024,1,JAN,2024-01-01,Croatia,State (FIR),CPF,326640,326240.53,322616.46
549127,2024,1,JAN,2024-01-01,Croatia,State (FIR),FTFM,328327,327795.65,323173.32
549128,2024,1,JAN,2024-01-01,Croatia,State (FIR),SCR,311566,311206.81,307014.08
549129,2024,1,JAN,2024-01-01,Cyprus,State (FIR),FTFM,215697,210611.71,201594.28
549130,2024,1,JAN,2024-01-01,Cyprus,State (FIR),SCR,200901,196207.72,188759.78
549131,2024,1,JAN,2024-01-01,Cyprus,State (FIR),CPF,212420,210521.99,201481.96
549132,2024,1,JAN,2024-01-01,Czech Republic,State (FIR),CPF,285954,285293.74,279611.39
549133,2024,1,JAN,2024-01-01,Czech Republic,State (FIR),FTFM,284850,283518.74,275781.1
549134,2024,1,JAN,2024-01-01,Czech Republic,State (FIR),SCR,269684,268452.31,261107.83
549135,2024,1,JAN,2024-01-01,DANUBE FAB,FAB (FIR),FTFM,1298199,1293224.65,1251932.28
549136,2024,1,JAN,2024-01-01,DANUBE FAB,FAB (FIR),SCR,1217902,1213265.79,1175212.05
549137,2024,1,JAN,2024-01-01,DANUBE FAB,FAB (FIR),CPF,1317531,1313787.32,1276781.57
549138,2024,1,JAN,2024-01-01,DK-SE FAB,FAB (FIR),SCR,635424,631542.16,621923.89
549139,2024,1,JAN,2024-01-01,DK-SE FAB,FAB (FIR),FTFM,660760,656352.02,645417.34
549140,2024,1,JAN,2024-01-01,DK-SE FAB,FAB (FIR),CPF,646499,644831.9,637516.16
549141,2024,1,JAN,2024-01-01,Denmark,State (FIR),CPF,239970,239698.03,237619.13
549142,2024,1,JAN,2024-01-01,Denmark,State (FIR),SCR,237453,236692.99,233490.75
549143,2024,1,JAN,2024-01-01,Denmark,State (FIR),FTFM,247480,246400.01,242729.89
549144,2024,1,JAN,2024-01-01,EUROCONTROL Area (PRR),Area (FIR),CPF,23421112,22909478.1,22771839.37
549145,2024,1,JAN,2024-01-01,EUROCONTROL Area (PRR),Area (FIR),FTFM,23601531,22802967.14,22610960.51
549146,2024,1,JAN,2024-01-01,EUROCONTROL Area (PRR),Area (FIR),SCR,22886387,22149938.75,21964232.65
549147,2024,1,JAN,2024-01-01,Estonia,State (FIR),CPF,63610,63419.09,59389.47
549148,2024,1,JAN,2024-01-01,Estonia,State (FIR),FTFM,60902,60731.54,56763.11
549149,2024,1,JAN,2024-01-01,Estonia,State (FIR),SCR,58198,58018.32,54340.77
549150,2024,1,JAN,2024-01-01,FAB CE,FAB (FIR),FTFM,2050327,2036881.07,1998083.06
549151,2024,1,JAN,2024-01-01,FAB CE,FAB (FIR),CPF,2046845,2039158.32,2009555.94
549152,2024,1,JAN,2024-01-01,FAB CE,FAB (FIR),SCR,1966155,1953697.49,1917333.51
549153,2024,1,JAN,2024-01-01,FAB CE (SES RP1),FAB (FIR),FTFM,1512371,1501563.25,1468155.23
549154,2024,1,JAN,2024-01-01,FAB CE (SES RP1),FAB (FIR),SCR,1450854,1440548.37,1409168.36
549155,2024,1,JAN,2024-01-01,FAB CE (SES RP1),FAB (FIR),CPF,1515678,1509686.27,1484603.67
549156,2024,1,JAN,2024-01-01,FAB CE (SES RP2),FAB (FIR),SCR,1763102,1751372.48,1716865.37
549157,2024,1,JAN,2024-01-01,FAB CE (SES RP2),FAB (FIR),CPF,1843379,1836335.7,1808259.62
549158,2024,1,JAN,2024-01-01,FAB CE (SES RP2),FAB (FIR),FTFM,1840965,1828475.92,1791596.05
549159,2024,1,JAN,2024-01-01,FABEC,FAB (FIR),FTFM,6578114,6386083.06,6267650.2
549160,2024,1,JAN,2024-01-01,FABEC,FAB (FIR),CPF,6495558,6419344.24,6330635.94
549161,2024,1,JAN,2024-01-01,FABEC,FAB (FIR),SCR,6467265,6288285.59,6174720.04
549162,2024,1,JAN,2024-01-01,Finland,State (FIR),CPF,116845,116621.8,113522.75
549163,2024,1,JAN,2024-01-01,Finland,State (FIR),FTFM,118743,118435.64,115097.16
549164,2024,1,JAN,2024-01-01,Finland,State (FIR),SCR,113685,113408.14,110204.56
549165,2024,1,JAN,2024-01-01,France,State (FIR),CPF,3578518,3538647.87,3479253.01
549166,2024,1,JAN,2024-01-01,France,State (FIR),FTFM,3593860,3488846.0,3413859.5
549167,2024,1,JAN,2024-01-01,France,State (FIR),SCR,3533252,3434987.23,3362844.99
549168,2024,1,JAN,2024-01-01,Georgia,State (FIR),CPF,149837,149323.0,142892.16
549169,2024,1,JAN,2024-01-01,Georgia,State (FIR),FTFM,148791,147791.18,141399.33
549170,2024,1,JAN,2024-01-01,Georgia,State (FIR),SCR,134149,133471.03,127770.43
549171,2024,1,JAN,2024-01-01,Germany,State (FIR),CPF,1922891,1912125.22,1883623.15
549172,2024,1,JAN,2024-01-01,Germany,State (FIR),FTFM,1950361,1911447.43,1868783.13
